"","ObsID","TransactionYear","HouseAge","Distance2MRT","NumConvenStores","Latitude","Longitude","PriceUnitArea","house_age_group","nearest_MRT_distance_group"
"238",238,2013,13,732.8528,0,24.97668,121.52518,39,"10 to 20","500-1000"
"239",239,2013,12.8,732.8528,0,24.97668,121.52518,40.6,"10 to 20","500-1000"
"240",240,2013,18.1,837.7233,0,24.96334,121.54767,29.7,"10 to 20","500-1000"
"241",241,2013,11,1712.632,2,24.96412,121.5167,28.8,"10 to 20","1000-2000"
"242",242,2013,13.7,250.631,7,24.96606,121.54297,41.4,"10 to 20","0-500"
"243",243,2012,2,2077.39,3,24.96357,121.51329,33.4,"0 to 5","> 2000"
"244",244,2013,32.8,204.1705,8,24.98236,121.53923,48.2,"> 20","0-500"
"245",245,2013,4.8,1559.827,3,24.97213,121.51627,21.7,"0 to 5","1000-2000"
"246",246,2013,7.5,639.6198,5,24.97258,121.54814,40.8,"5 to 10","500-1000"
"247",247,2013,16.4,389.8219,6,24.96412,121.54273,40.6,"10 to 20","0-500"
"248",248,2013,21.7,1055.067,0,24.96211,121.54928,23.1,"> 20","1000-2000"
"249",249,2013,19,1009.235,0,24.96357,121.54951,22.3,"10 to 20","1000-2000"
"250",250,2012,18,6306.153,1,24.95743,121.47516,15,"10 to 20","> 2000"
"251",251,2013,39.2,424.7132,7,24.97429,121.53917,30,"> 20","0-500"
"252",252,2012,31.7,1159.454,0,24.9496,121.53018,13.8,"> 20","1000-2000"
"253",253,2012,5.9,90.45606,9,24.97433,121.5431,52.7,"5 to 10","0-500"
"254",254,2012,30.4,1735.595,2,24.96464,121.51623,25.9,"> 20","1000-2000"
"255",255,2012,1.1,329.9747,5,24.98254,121.54395,51.8,"0 to 5","0-500"
"256",256,2013,31.5,5512.038,1,24.95095,121.48458,17.4,"> 20","> 2000"
"257",257,2012,14.6,339.2289,1,24.97519,121.53151,26.5,"10 to 20","0-500"
"258",258,2013,17.3,444.1334,1,24.97501,121.5273,43.9,"10 to 20","0-500"
"259",259,2013,0,292.9978,6,24.97744,121.54458,63.3,"0 to 5","0-500"
"260",260,2013,17.7,837.7233,0,24.96334,121.54767,28.8,"10 to 20","500-1000"
"261",261,2013,17,1485.097,4,24.97073,121.517,30.7,"10 to 20","1000-2000"
"262",262,2013,16.2,2288.011,3,24.95885,121.51359,24.4,"10 to 20","> 2000"
"263",263,2012,15.9,289.3248,5,24.98203,121.54348,53,"10 to 20","0-500"
"264",264,2013,3.9,2147.376,3,24.96299,121.51284,31.7,"0 to 5","> 2000"
"265",265,2013,32.6,493.657,7,24.96968,121.54522,40.6,"> 20","0-500"
"266",266,2012,15.7,815.9314,4,24.97886,121.53464,38.1,"10 to 20","500-1000"
"267",267,2013,17.8,1783.18,3,24.96731,121.51486,23.7,"10 to 20","1000-2000"
"268",268,2012,34.7,482.7581,5,24.97433,121.53863,41.1,"> 20","0-500"
"269",269,2013,17.2,390.5684,5,24.97937,121.54245,40.1,"10 to 20","0-500"
"270",270,2013,17.6,837.7233,0,24.96334,121.54767,23,"10 to 20","500-1000"
"271",271,2013,10.8,252.5822,1,24.9746,121.53046,117.5,"10 to 20","0-500"
"272",272,2012,17.7,451.6419,8,24.96945,121.5449,26.5,"10 to 20","0-500"
"273",273,2012,13,492.2313,5,24.96515,121.53737,40.5,"10 to 20","0-500"
"274",274,2013,13.2,170.1289,1,24.97371,121.52984,29.3,"10 to 20","0-500"
"275",275,2013,27.5,394.0173,7,24.97305,121.53994,41,"> 20","0-500"
"276",276,2012,1.5,23.38284,7,24.96772,121.54102,49.7,"0 to 5","0-500"
"277",277,2013,19.1,461.1016,5,24.95425,121.5399,34,"10 to 20","0-500"
"278",278,2013,21.2,2185.128,3,24.96322,121.51237,27.7,"> 20","> 2000"
"279",279,2012,0,208.3905,6,24.95618,121.53844,44,"0 to 5","0-500"
"280",280,2013,2.6,1554.25,3,24.97026,121.51642,31.1,"0 to 5","1000-2000"
"281",281,2013,2.3,184.3302,6,24.96581,121.54086,45.4,"0 to 5","0-500"
"282",282,2013,4.7,387.7721,9,24.98118,121.53788,44.8,"0 to 5","0-500"
"283",283,2012,2,1455.798,1,24.9512,121.549,25.6,"0 to 5","1000-2000"
"284",284,2013,33.5,1978.671,2,24.98674,121.51844,23.5,"> 20","1000-2000"
"285",285,2012,15,383.2805,7,24.96735,121.54464,34.4,"10 to 20","0-500"
"286",286,2013,30.1,718.2937,3,24.97509,121.53644,55.3,"> 20","500-1000"
"287",287,2012,5.9,90.45606,9,24.97433,121.5431,56.3,"5 to 10","0-500"
"288",288,2013,19.2,461.1016,5,24.95425,121.5399,32.9,"10 to 20","0-500"
"289",289,2013,16.6,323.6912,6,24.97841,121.5428,51,"10 to 20","0-500"
"290",290,2013,13.9,289.3248,5,24.98203,121.54348,44.5,"10 to 20","0-500"
"291",291,2013,37.7,490.3446,0,24.97217,121.53471,37,"> 20","0-500"
"292",292,2012,3.4,56.47425,7,24.95744,121.53711,54.4,"0 to 5","0-500"
"293",293,2013,17.5,395.6747,5,24.95674,121.534,24.5,"10 to 20","0-500"
"294",294,2012,12.6,383.2805,7,24.96735,121.54464,42.5,"10 to 20","0-500"
"295",295,2013,26.4,335.5273,6,24.9796,121.5414,38.1,"> 20","0-500"
"296",296,2013,18.2,2179.59,3,24.96299,121.51252,21.8,"10 to 20","> 2000"
"297",297,2012,12.5,1144.436,4,24.99176,121.53456,34.1,"10 to 20","1000-2000"
"298",298,2012,34.9,567.0349,4,24.97003,121.5458,28.5,"> 20","500-1000"
"299",299,2013,16.7,4082.015,0,24.94155,121.50381,16.7,"10 to 20","> 2000"
"300",300,2013,33.2,121.7262,10,24.98178,121.54059,46.1,"> 20","0-500"
"301",301,2013,2.5,156.2442,4,24.96696,121.53992,36.9,"0 to 5","0-500"
"302",302,2012,38,461.7848,0,24.97229,121.53445,35.7,"> 20","0-500"
"303",303,2013,16.5,2288.011,3,24.95885,121.51359,23.2,"10 to 20","> 2000"
"304",304,2013,38.3,439.7105,0,24.97161,121.53423,38.4,"> 20","0-500"
"305",305,2013,20,1626.083,3,24.96622,121.51668,29.4,"10 to 20","1000-2000"
"306",306,2013,16.2,289.3248,5,24.98203,121.54348,55,"10 to 20","0-500"
"307",307,2013,14.4,169.9803,1,24.97369,121.52979,50.2,"10 to 20","0-500"
"308",308,2012,10.3,3079.89,0,24.9546,121.56627,24.7,"10 to 20","> 2000"
"309",309,2013,16.4,289.3248,5,24.98203,121.54348,53,"10 to 20","0-500"
"310",310,2013,30.3,1264.73,0,24.94883,121.52954,19.1,"> 20","1000-2000"
"311",311,2013,16.4,1643.499,2,24.95394,121.55174,24.7,"10 to 20","1000-2000"
"312",312,2013,21.3,537.7971,4,24.97425,121.53814,42.2,"> 20","500-1000"
